iter	Passed	Remaining
905	1630	169
906	1632	167
907	1635	165
908	1637	163
909	1639	162
910	1641	160
911	1642	158
912	1644	156
913	1646	154
914	1651	153
915	1653	151
916	1654	149
917	1656	147
918	1657	146
919	1659	144
920	1661	142
921	1663	140
922	1665	138
923	1666	137
924	1668	135
925	1669	133
926	1671	131
927	1672	129
928	1674	127
929	1676	126
930	1678	124
931	1680	122
932	1681	120
933	1683	118
934	1685	117
935	1686	115
936	1688	113
937	1690	111
938	1691	109
939	1693	108
940	1695	106
941	1696	104
942	1698	102
943	1700	100
944	1701	99
945	1703	97
946	1705	95
947	1706	93
948	1708	91
949	1710	90
950	1711	88
951	1713	86
952	1715	84
953	1716	82
954	1721	81
955	1722	79
956	1724	77
957	1725	75
958	1726	73
959	1728	72
960	1729	70
961	1730	68
962	1732	66
963	1733	64
964	1736	62
965	1738	61
966	1739	59
967	1741	57
968	1742	55
969	1743	53
970	1745	52
971	1746	50
972	1747	48
973	1749	46
974	1750	44
975	1752	43
976	1753	41
977	1755	39
978	1756	37
979	1758	35
980	1759	34
981	1760	32
982	1762	30
983	1763	28
984	1765	26
985	1766	25
986	1768	23
987	1769	21
988	1770	19
989	1772	17
990	1773	16
991	1774	14
992	1776	12
993	1778	10
994	1779	8
995	1780	7
996	1782	5
997	1783	3
998	1784	1
999	1786	0
